,0
events,3930
hit_location,4094
bb_type,4342
on_3b,4893
on_2b,4360
on_1b,3905
hc_x,4343
hc_y,4343
hit_distance_sc,3511
launch_speed,3513
launch_angle,3511
estimated_ba_using_speedangle,4344
estimated_woba_using_speedangle,3938
woba_value,3930
woba_denom,3932
babip_value,3930
iso_value,3930
launch_speed_angle,4344
if_fielding_alignment,5
of_fielding_alignment,5
bat_speed,2866
swing_length,2866
estimated_slg_using_speedangle,4344
hyper_speed,3502
pitcher_days_since_prev_game,10
batter_days_since_prev_game,45
batter_days_until_next_game,12
attack_angle,2866
attack_direction,2866
swing_path_tilt,2866
intercept_ball_minus_batter_pos_x_inches,2868
intercept_ball_minus_batter_pos_y_inches,2868
